Time,OD,Strain,Environment
84.90655556,0.666400015,TUB0,LB
85.08455556,0.66869998,TUB0,LB
85.26255556,0.66869998,TUB0,LB
85.44058333,0.667699993,TUB0,LB
85.61855556,0.66869998,TUB0,LB
85.79658333,0.668900013,TUB0,LB
85.97455556,0.668200016,TUB0,LB
86.15258333,0.670700014,TUB0,LB
86.33058333,0.670000017,TUB0,LB
86.50855556,0.671299994,TUB0,LB
86.68658333,0.671199977,TUB0,LB
86.86455556,0.671299994,TUB0,LB
87.04258333,0.672100008,TUB0,LB
87.22058333,0.672200024,TUB0,LB
87.39858333,0.673200011,TUB0,LB
87.57658333,0.674600005,TUB0,LB
87.75458333,0.674700022,TUB0,LB
87.93258333,0.675100029,TUB0,LB
88.11058333,0.675400019,TUB0,LB
88.28858333,0.675700009,TUB0,LB
88.46658333,0.677399993,TUB0,LB
0,0.142700002,TUB0,LB
0.178,0.142000005,TUB0,LB
0.356,0.141399994,TUB0,LB
0.534,0.1426,TUB0,LB
0.712,0.141299993,TUB0,LB
0.89,0.142000005,TUB0,LB
1.068,0.1417,TUB0,LB
1.246,0.140799999,TUB0,LB
1.424,0.142299995,TUB0,LB
1.602,0.141900003,TUB0,LB
1.78,0.142000005,TUB0,LB
1.958,0.143399999,TUB0,LB
2.136027778,0.143299997,TUB0,LB
2.314027778,0.143600002,TUB0,LB
2.492027778,0.145300001,TUB0,LB
2.670027778,0.145799994,TUB0,LB
2.848027778,0.146899998,TUB0,LB
3.026027778,0.149499997,TUB0,LB
3.204027778,0.151299998,TUB0,LB
3.382027778,0.153999999,TUB0,LB
3.560027778,0.158999994,TUB0,LB
3.738027778,0.164100006,TUB0,LB
3.916027778,0.170900002,TUB0,LB
4.094027778,0.182099998,TUB0,LB
4.272027778,0.194999993,TUB0,LB
4.450027778,0.212099999,TUB0,LB
4.628027778,0.232700005,TUB0,LB
4.806027778,0.254400015,TUB0,LB
4.984027778,0.283499986,TUB0,LB
5.162027778,0.325100005,TUB0,LB
5.340027778,0.374900013,TUB0,LB
5.518055556,0.402099997,TUB0,LB
5.696027778,0.404799998,TUB0,LB
5.874027778,0.410600007,TUB0,LB
6.052055556,0.426400006,TUB0,LB
6.230027778,0.443300009,TUB0,LB
6.408055556,0.458000004,TUB0,LB
6.586055556,0.468800008,TUB0,LB
6.764055556,0.475499988,TUB0,LB
6.942027778,0.477400005,TUB0,LB
7.120055556,0.490399987,TUB0,LB
7.298055556,0.492399991,TUB0,LB
7.476055556,0.505800009,TUB0,LB
7.654055556,0.529100001,TUB0,LB
7.832055556,0.547800004,TUB0,LB
8.010055556,0.573700011,TUB0,LB
8.188055556,0.591700017,TUB0,LB
8.366055556,0.609000027,TUB0,LB
8.544055556,0.635599971,TUB0,LB
8.722055556,0.645099998,TUB0,LB
8.900055556,0.651899993,TUB0,LB
9.078055556,0.653699994,TUB0,LB
9.256055556,0.652800024,TUB0,LB
9.434055556,0.650099993,TUB0,LB
9.612055556,0.650399983,TUB0,LB
9.790055556,0.640900016,TUB0,LB
9.968055556,0.639999986,TUB0,LB
10.14605556,0.643100023,TUB0,LB
10.32408333,0.638599992,TUB0,LB
10.50208333,0.634000003,TUB0,LB
10.68008333,0.633099973,TUB0,LB
10.85808333,0.621599972,TUB0,LB
11.03608333,0.612399995,TUB0,LB
11.21408333,0.612900019,TUB0,LB
11.39208333,0.60589999,TUB0,LB
11.57008333,0.601700008,TUB0,LB
11.74808333,0.592999995,TUB0,LB
